UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA,,,,,,
MA,21,02325,Buriticupu,"72,983",,,,,,
MA,21,02358,Buritirana,"15,467",,,,,,
MA,21,02374,Cachoeira Grande,"9,478",,,,,,
MA,21,02408,Cajapió,"11,216",,,,,,
MA,21,02507,Cajari,"19,451",,,,,,
MA,21,02556,Campestre do Maranhão,"14,453",,,,,,
MA,21,02606,Cândido Mendes,"20,278",,,,,,
MA,21,02705,Cantanhede,"22,117",,,,,,
MA,21,02754,Capinzal do Norte,"10,935",,,,,,
MA,21,02804,Carolina,"24,165",,,,,,
MA,21,02903,Carutapera,"23,952",,,,,,
MA,21,03000,Caxias,"165,525",,,,,,
MA,21,03109,Cedral,"10,693",,,,,,
MA,21,03125,Central do Maranhão,"8,740",,,,,,
